what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096603985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096618042
executed,command,com.altera.sbtgui.flash.plugin,13.0.0.156,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1471096621383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096622091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096798933
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471096799024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096801473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096802886
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471096811271
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471096813371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096827376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096853807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096855505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096901401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096903785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096934941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471096936767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097568198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097568517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097569473
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471097570113
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1471097571691
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1471097571691
