what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1471448567733
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1471448567734
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1471448567735
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1471448568069
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1471448570062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471448582637
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1471448584135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448589231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448610262
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1471448613438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448614425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448630647
executed,command,com.altera.sbtgui.flash.plugin,,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1471448635105
started,bundle,com.altera.sbtgui.flash.plugin,13.0.0.156,"com.altera.sbtgui.flash.plugin",1471448635105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448635743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448682966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448684847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448686270
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471448687572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471448715126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471448718815
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1471448719168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448719788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471448724068
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471448724088
