what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_CN",1504183602593
processors,sysinfo,,,"4",1504183602593
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1504183602593
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1504183602593
java.specification.name,sysinfo,,,"Java Platform API Specification",1504183602593
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1504183602593
java.specification.version,sysinfo,,,"1.6",1504183602593
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1504183602593
java.version,sysinfo,,,"1.6.0_23",1504183602593
java.vm.info,sysinfo,,,"mixed mode",1504183602593
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1504183602593
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1504183602593
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1504183602593
java.vm.specification.version,sysinfo,,,"1.0",1504183602593
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1504183602593
java.vm.version,sysinfo,,,"19.0-b09",1504183602593
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504183605360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183614244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183614308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183615886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183668926
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1504183669089
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1504183669123
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1504183670441
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1504183670485
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1504183670488
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504183673387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183673432
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1504183673507
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1504183673508
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1504183673509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183708562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504183719946
