what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/e/Learning/B00_FPGA/A01_DE2_115/DE2_YT_Project/T2_led_sopc/code/software/led/led.elf] return code: 4, 'other error'",1504188012193
error,log,,,"Downloading ELF Process failed",1504188012195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188012259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188020137
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1504188020280
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1504188021832
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1504188021887
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504188023369
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504188025957
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504188026006
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504188027099
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504188028320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188030613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188093238
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504188096619
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1504188096625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188099994
